Generation (G),The maximum reproductive capacity (K),Peak available resource (R),Peak surplus resouce (delta_R),Fitness of colony (W),Inclusive fitness of the first brood,Direct fitness of the first brood
184,203,14502,12472,461,461,0,
185,204,14570,12530,461,461,0,
186,205,14636,12586,461,461,0,
187,206,14704,12644,461,461,0,
188,207,14772,12702,461,461,0,
189,208,14840,12760,461,461,0,
190,209,14906,12816,461,461,0,
191,210,14974,12874,461,461,0,
192,211,15042,12932,461,461,0,
193,212,15110,12990,461,461,0,
194,213,15176,13046,488,488,0,
195,214,15244,13104,488,488,0,
196,215,15312,13162,488,488,0,
197,216,15380,13220,488,488,0,
198,217,15446,13276,488,488,0,
199,218,15514,13334,488,488,0,
200,219,15582,13392,488,488,0,
