Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
5,1,0,0,0,5,10,0,5.0,24,200,200,100,100,0,0,10,,,,,,,,,,,,,
5,2,0,0,10,4,10,0,3.0,24,200,200,100,100,0,0,10,10,,,,,,,,,,,,
5,3,0,10,10,4,11,0,3.0,24,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
5,4,0,20,11,4,24,0,3.0,24,537,537,297,297,0,0,24,11,10,10,,,,,,,,,,
5,5,0,31,24,4,24,0,3.0,24,878,878,638,638,0,0,24,24,11,10,10,,,,,,,,,
5,6,0,55,24,4,24,0,3.0,24,1557,1557,1317,1317,10,0,24,24,24,11,10,10,,,,,,,,
5,7,20,59,24,4,24,0,3.0,24,1381,1557,1141,1317,20,18,24,24,24,24,11,0,0,,,,,,,
5,8,11,72,24,4,24,0,3.0,24,1820,1820,1580,1580,31,29,24,24,24,24,24,0,0,0,,,,,,
5,9,24,72,24,4,24,0,3.0,24,1820,1820,1580,1580,54,53,24,24,24,24,24,0,0,0,0,,,,,
5,10,24,72,24,4,24,0,3.0,24,1820,1820,1580,1580,77,77,24,24,24,24,24,0,0,0,0,0,,,,
5,11,24,72,24,4,24,0,3.0,24,1820,1820,1580,1580,100,101,24,24,24,24,24,0,0,0,0,0,0,,,
5,12,24,72,24,4,24,0,3.0,24,1820,1820,1580,1580,123,125,24,24,24,24,24,0,0,0,0,0,0,0,,
5,13,24,72,24,4,24,0,3.0,24,1820,1820,1580,1580,146,149,24,24,24,24,24,0,0,0,0,0,0,0,0,
6,1,0,0,0,5,10,0,5.0,25,200,200,100,100,0,0,10,,,,,,,,,,,,,
6,2,0,0,10,4,10,0,3.0,25,200,200,100,100,0,0,10,10,,,,,,,,,,,,
6,3,0,10,10,4,11,0,3.0,25,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
6,4,0,20,11,4,25,0,3.0,25,537,537,287,287,0,0,25,11,10,10,,,,,,,,,,
