Generation (G),Age of Colony (t),No. of alates (A),No. of helpers,No. of not helper,Age to dispersal (tau),No. of eggs (F),No. of dead offsprings,Imprinting level (I),The maximum reproductive capacity (K),Available resource (R),Peak available resource,Surplus resouce,Peak surplus resouce (delta_R),No. of alates in previous generation,Fitness of colony (W),0-year-old,1-year-old,2-year-old,3-year-old,4-year-old,5-year-old,6-year-old,7-year-old,8-year-old,9-year-old,10-year-old,11-year-old,12-year-old
51,2,0,0,10,4,10,0,3.0,70,200,200,100,100,0,0,10,10,,,,,,,,,,,,
51,3,0,10,10,4,11,0,3.0,70,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
51,4,0,20,11,4,26,0,3.0,70,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
51,5,0,31,26,4,43,0,3.0,70,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
51,6,0,57,43,4,70,0,3.0,70,1564,1564,864,864,0,0,70,43,26,11,10,10,,,,,,,,
51,7,10,90,70,4,70,0,3.0,70,2112,2112,1412,1412,10,10,70,70,43,26,11,0,10,,,,,,,
51,8,11,149,70,4,70,0,3.0,70,3229,3229,2529,2529,21,21,70,70,70,43,26,0,0,10,,,,,,
51,9,26,193,70,4,70,0,3.0,70,4613,4613,3913,3913,47,47,70,70,70,70,43,0,0,0,10,,,,,
51,10,53,210,70,4,70,0,3.0,70,4924,4924,4224,4224,91,91,70,70,70,70,70,0,0,0,0,0,,,,
51,11,70,210,70,4,70,0,3.0,70,4924,4924,4224,4224,160,161,70,70,70,70,70,0,0,0,0,0,0,,,
51,12,70,210,70,4,70,0,3.0,70,4924,4924,4224,4224,229,231,70,70,70,70,70,0,0,0,0,0,0,0,,
51,13,70,210,70,4,70,0,3.0,70,4924,4924,4224,4224,298,301,70,70,70,70,70,0,0,0,0,0,0,0,0,
52,1,0,0,0,8,10,0,8.0,71,200,200,100,100,0,0,10,,,,,,,,,,,,,
52,2,0,0,10,4,10,0,4.0,71,200,200,100,100,0,0,10,10,,,,,,,,,,,,
52,3,0,10,10,4,11,0,3.0,71,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
52,4,0,20,11,4,26,0,3.0,71,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
52,5,0,31,26,4,43,0,3.0,71,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
52,6,0,57,43,4,71,0,3.0,71,1564,1564,854,854,0,0,71,43,26,11,10,10,,,,,,,,
52,7,10,90,71,4,71,0,3.0,71,2112,2112,1402,1402,10,10,71,71,43,26,11,0,10,,,,,,,
52,8,11,150,71,4,71,0,3.0,71,3233,3233,2523,2523,21,21,71,71,71,43,26,0,0,10,,,,,,
52,9,26,195,71,4,71,0,3.0,71,4647,4647,3937,3937,47,47,71,71,71,71,43,0,0,0,10,,,,,
52,10,53,213,71,4,71,0,3.0,71,4992,4992,4282,4282,91,91,71,71,71,71,71,0,0,0,0,0,,,,
52,11,71,213,71,4,71,0,3.0,71,4992,4992,4282,4282,161,162,71,71,71,71,71,0,0,0,0,0,0,,,
52,12,71,213,71,4,71,0,3.0,71,4992,4992,4282,4282,231,233,71,71,71,71,71,0,0,0,0,0,0,0,,
52,13,71,213,71,4,71,0,3.0,71,4992,4992,4282,4282,301,304,71,71,71,71,71,0,0,0,0,0,0,0,0,
53,1,0,0,0,9,10,0,9.0,72,200,200,100,100,0,0,10,,,,,,,,,,,,,
53,2,0,0,10,4,10,0,4.0,72,200,200,100,100,0,0,10,10,,,,,,,,,,,,
53,3,0,10,10,4,11,0,3.0,72,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
53,4,0,20,11,4,26,0,3.0,72,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
53,5,0,31,26,4,43,0,3.0,72,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
53,6,0,57,43,4,72,0,3.0,72,1564,1564,844,844,0,0,72,43,26,11,10,10,,,,,,,,
53,7,10,90,72,4,72,0,3.0,72,2112,2112,1392,1392,10,10,72,72,43,26,11,0,10,,,,,,,
53,8,11,151,72,4,72,0,3.0,72,3237,3237,2517,2517,21,21,72,72,72,43,26,0,0,10,,,,,,
53,9,26,197,72,4,72,0,3.0,72,4681,4681,3961,3961,47,47,72,72,72,72,43,0,0,0,10,,,,,
53,10,43,226,72,4,72,0,3.0,72,5660,5660,4940,4940,91,90,72,72,72,72,72,0,0,0,0,10,,,,
53,11,82,216,72,4,72,0,3.0,72,5060,5660,4340,4940,162,162,72,72,72,72,72,0,0,0,0,0,0,,,
53,12,72,216,72,4,72,0,3.0,72,5060,5660,4340,4940,233,234,72,72,72,72,72,0,0,0,0,0,0,0,,
53,13,72,216,72,4,72,0,3.0,72,5060,5660,4340,4940,304,306,72,72,72,72,72,0,0,0,0,0,0,0,0,
54,1,0,0,0,9,10,0,9.0,73,200,200,100,100,0,0,10,,,,,,,,,,,,,
54,2,0,0,10,4,10,0,4.0,73,200,200,100,100,0,0,10,10,,,,,,,,,,,,
54,3,0,10,10,4,11,0,3.0,73,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
54,4,0,20,11,4,26,0,3.0,73,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
54,5,0,31,26,4,43,0,3.0,73,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
54,6,0,57,43,4,73,0,3.0,73,1564,1564,834,834,0,0,73,43,26,11,10,10,,,,,,,,
54,7,10,90,73,4,73,0,3.0,73,2112,2112,1382,1382,10,10,73,73,43,26,11,0,10,,,,,,,
54,8,11,152,73,4,73,0,3.0,73,3240,3240,2510,2510,21,21,73,73,73,43,26,0,0,10,,,,,,
54,9,26,199,73,4,73,0,3.0,73,4714,4714,3984,3984,47,47,73,73,73,73,43,0,0,0,10,,,,,
54,10,43,229,73,4,73,0,3.0,73,5726,5726,4996,4996,90,90,73,73,73,73,73,0,0,0,0,10,,,,
54,11,83,219,73,4,73,0,3.0,73,5126,5726,4396,4996,162,163,73,73,73,73,73,0,0,0,0,0,0,,,
54,12,73,219,73,4,73,0,3.0,73,5126,5726,4396,4996,234,236,73,73,73,73,73,0,0,0,0,0,0,0,,
54,13,73,219,73,4,73,0,3.0,73,5126,5726,4396,4996,306,309,73,73,73,73,73,0,0,0,0,0,0,0,0,
55,1,0,0,0,9,10,0,9.0,74,200,200,100,100,0,0,10,,,,,,,,,,,,,
55,2,0,0,10,4,10,0,4.0,74,200,200,100,100,0,0,10,10,,,,,,,,,,,,
55,3,0,10,10,4,11,0,3.0,74,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
55,4,0,20,11,4,26,0,3.0,74,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
55,5,0,31,26,4,43,0,3.0,74,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
55,6,0,57,43,4,74,0,3.0,74,1564,1564,824,824,0,0,74,43,26,11,10,10,,,,,,,,
55,7,10,90,74,4,74,0,3.0,74,2112,2112,1372,1372,10,10,74,74,43,26,11,0,10,,,,,,,
55,8,11,153,74,4,74,0,3.0,74,3244,3244,2504,2504,21,21,74,74,74,43,26,0,0,10,,,,,,
55,9,26,201,74,4,74,0,3.0,74,4748,4748,4008,4008,47,47,74,74,74,74,43,0,0,0,10,,,,,
55,10,43,232,74,4,74,0,3.0,74,5794,5794,5054,5054,90,90,74,74,74,74,74,0,0,0,0,10,,,,
55,11,84,222,74,4,74,0,3.0,74,5194,5794,4454,5054,163,164,74,74,74,74,74,0,0,0,0,0,0,,,
55,12,74,222,74,4,74,0,3.0,74,5194,5794,4454,5054,236,238,74,74,74,74,74,0,0,0,0,0,0,0,,
55,13,74,222,74,4,74,0,3.0,74,5194,5794,4454,5054,309,312,74,74,74,74,74,0,0,0,0,0,0,0,0,
56,1,0,0,0,9,10,0,9.0,75,200,200,100,100,0,0,10,,,,,,,,,,,,,
56,2,0,0,10,4,10,0,4.0,75,200,200,100,100,0,0,10,10,,,,,,,,,,,,
56,3,0,10,10,4,11,0,3.0,75,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
56,4,0,20,11,4,26,0,3.0,75,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
56,5,0,31,26,4,43,0,3.0,75,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
56,6,0,57,43,4,75,0,3.0,75,1564,1564,814,814,0,0,75,43,26,11,10,10,,,,,,,,
56,7,10,90,75,4,75,0,3.0,75,2112,2112,1362,1362,10,10,75,75,43,26,11,0,10,,,,,,,
56,8,11,154,75,4,75,0,3.0,75,3248,3248,2498,2498,21,21,75,75,75,43,26,0,0,10,,,,,,
56,9,26,203,75,4,75,0,3.0,75,4782,4782,4032,4032,47,47,75,75,75,75,43,0,0,0,10,,,,,
56,10,43,235,75,4,75,0,3.0,75,5862,5862,5112,5112,90,90,75,75,75,75,75,0,0,0,0,10,,,,
56,11,85,225,75,4,75,0,3.0,75,5262,5862,4512,5112,164,165,75,75,75,75,75,0,0,0,0,0,0,,,
56,12,75,225,75,4,75,0,3.0,75,5262,5862,4512,5112,238,240,75,75,75,75,75,0,0,0,0,0,0,0,,
56,13,75,225,75,4,75,0,3.0,75,5262,5862,4512,5112,312,315,75,75,75,75,75,0,0,0,0,0,0,0,0,
57,1,0,0,0,9,10,0,9.0,76,200,200,100,100,0,0,10,,,,,,,,,,,,,
57,2,0,0,10,4,10,0,4.0,76,200,200,100,100,0,0,10,10,,,,,,,,,,,,
57,3,0,10,10,4,11,0,3.0,76,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
57,4,0,20,11,4,26,0,3.0,76,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
57,5,0,31,26,4,43,0,3.0,76,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
57,6,0,57,43,4,76,0,3.0,76,1564,1564,804,804,0,0,76,43,26,11,10,10,,,,,,,,
57,7,10,90,76,4,76,0,3.0,76,2112,2112,1352,1352,10,10,76,76,43,26,11,0,10,,,,,,,
57,8,11,155,76,4,76,0,3.0,76,3252,3252,2492,2492,21,21,76,76,76,43,26,0,0,10,,,,,,
57,9,26,205,76,4,76,0,3.0,76,4816,4816,4056,4056,47,47,76,76,76,76,43,0,0,0,10,,,,,
57,10,43,238,76,4,76,0,3.0,76,5930,5930,5170,5170,90,90,76,76,76,76,76,0,0,0,0,10,,,,
57,11,86,228,76,4,76,0,3.0,76,5330,5930,4570,5170,165,166,76,76,76,76,76,0,0,0,0,0,0,,,
57,12,76,228,76,4,76,0,3.0,76,5330,5930,4570,5170,240,242,76,76,76,76,76,0,0,0,0,0,0,0,,
57,13,76,228,76,4,76,0,3.0,76,5330,5930,4570,5170,315,318,76,76,76,76,76,0,0,0,0,0,0,0,0,
58,1,0,0,0,9,10,0,9.0,77,200,200,100,100,0,0,10,,,,,,,,,,,,,
58,2,0,0,10,4,10,0,4.0,77,200,200,100,100,0,0,10,10,,,,,,,,,,,,
58,3,0,10,10,4,11,0,3.0,77,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
58,4,0,20,11,4,26,0,3.0,77,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
58,5,0,31,26,4,43,0,3.0,77,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
58,6,0,57,43,4,77,0,3.0,77,1564,1564,794,794,0,0,77,43,26,11,10,10,,,,,,,,
58,7,10,90,77,4,77,0,3.0,77,2112,2112,1342,1342,10,10,77,77,43,26,11,0,10,,,,,,,
58,8,11,156,77,4,77,0,3.0,77,3255,3255,2485,2485,21,21,77,77,77,43,26,0,0,10,,,,,,
58,9,26,207,77,4,77,0,3.0,77,4849,4849,4079,4079,47,47,77,77,77,77,43,0,0,0,10,,,,,
58,10,43,241,77,4,77,0,3.0,77,5996,5996,5226,5226,90,90,77,77,77,77,77,0,0,0,0,10,,,,
58,11,87,231,77,4,77,0,3.0,77,5396,5996,4626,5226,166,167,77,77,77,77,77,0,0,0,0,0,0,,,
58,12,77,231,77,4,77,0,3.0,77,5396,5996,4626,5226,242,244,77,77,77,77,77,0,0,0,0,0,0,0,,
58,13,77,231,77,4,77,0,3.0,77,5396,5996,4626,5226,318,321,77,77,77,77,77,0,0,0,0,0,0,0,0,
59,1,0,0,0,9,10,0,9.0,78,200,200,100,100,0,0,10,,,,,,,,,,,,,
59,2,0,0,10,4,10,0,4.0,78,200,200,100,100,0,0,10,10,,,,,,,,,,,,
59,3,0,10,10,4,11,0,3.0,78,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
59,4,0,20,11,4,26,0,3.0,78,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
59,5,0,31,26,4,43,0,3.0,78,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
59,6,0,57,43,4,78,0,3.0,78,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
59,7,10,90,78,4,78,0,3.0,78,2112,2112,1332,1332,10,10,78,78,43,26,11,0,10,,,,,,,
59,8,11,157,78,4,78,0,3.0,78,3259,3259,2479,2479,21,21,78,78,78,43,26,0,0,10,,,,,,
59,9,26,209,78,4,78,0,3.0,78,4883,4883,4103,4103,47,47,78,78,78,78,43,0,0,0,10,,,,,
59,10,43,244,78,4,78,0,3.0,78,6064,6064,5284,5284,90,90,78,78,78,78,78,0,0,0,0,10,,,,
59,11,88,234,78,4,78,0,3.0,78,5464,6064,4684,5284,167,168,78,78,78,78,78,0,0,0,0,0,0,,,
59,12,78,234,78,4,78,0,3.0,78,5464,6064,4684,5284,244,246,78,78,78,78,78,0,0,0,0,0,0,0,,
59,13,78,234,78,4,78,0,3.0,78,5464,6064,4684,5284,321,324,78,78,78,78,78,0,0,0,0,0,0,0,0,
60,1,0,0,0,9,10,0,9.0,79,200,200,100,100,0,0,10,,,,,,,,,,,,,
60,2,0,0,10,4,10,0,4.0,79,200,200,100,100,0,0,10,10,,,,,,,,,,,,
60,3,0,10,10,4,11,0,3.0,79,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
60,4,0,20,11,4,26,0,3.0,79,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
60,5,0,31,26,4,43,0,3.0,79,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
60,6,0,57,43,4,78,0,3.0,79,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
60,7,10,90,78,4,79,0,3.0,79,2112,2112,1322,1322,10,10,79,78,43,26,11,0,10,,,,,,,
60,8,11,157,79,4,79,0,3.0,79,3259,3259,2469,2469,21,21,79,79,78,43,26,0,0,10,,,,,,
60,9,26,210,79,4,79,0,3.0,79,4887,4887,4097,4097,47,47,79,79,79,78,43,0,0,0,10,,,,,
60,10,43,246,79,4,79,0,3.0,79,6098,6098,5308,5308,90,90,79,79,79,79,78,0,0,0,0,10,,,,
60,11,88,237,79,4,79,0,3.0,79,5532,6098,4742,5308,168,168,79,79,79,79,79,0,0,0,0,0,0,,,
60,12,79,237,79,4,79,0,3.0,79,5532,6098,4742,5308,246,247,79,79,79,79,79,0,0,0,0,0,0,0,,
60,13,79,237,79,4,79,0,3.0,79,5532,6098,4742,5308,324,326,79,79,79,79,79,0,0,0,0,0,0,0,0,
61,1,0,0,0,9,10,0,9.0,80,200,200,100,100,0,0,10,,,,,,,,,,,,,
61,2,0,0,10,4,10,0,4.0,80,200,200,100,100,0,0,10,10,,,,,,,,,,,,
61,3,0,10,10,4,11,0,3.0,80,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
61,4,0,20,11,4,26,0,3.0,80,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
61,5,0,31,26,4,43,0,3.0,80,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
61,6,0,57,43,4,78,0,3.0,80,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
61,7,10,90,78,4,80,0,3.0,80,2112,2112,1312,1312,10,10,80,78,43,26,11,0,10,,,,,,,
61,8,11,157,80,4,80,0,3.0,80,3259,3259,2459,2459,21,21,80,80,78,43,26,0,0,10,,,,,,
61,9,26,211,80,4,80,0,3.0,80,4891,4891,4091,4091,47,47,80,80,80,78,43,0,0,0,10,,,,,
61,10,43,248,80,4,80,0,3.0,80,6132,6132,5332,5332,90,90,80,80,80,80,78,0,0,0,0,10,,,,
61,11,88,240,80,4,80,0,3.0,80,5600,6132,4800,5332,168,168,80,80,80,80,80,0,0,0,0,0,0,,,
61,12,80,240,80,4,80,0,3.0,80,5600,6132,4800,5332,247,248,80,80,80,80,80,0,0,0,0,0,0,0,,
61,13,80,240,80,4,80,0,3.0,80,5600,6132,4800,5332,326,328,80,80,80,80,80,0,0,0,0,0,0,0,0,
62,1,0,0,0,9,10,0,9.0,81,200,200,100,100,0,0,10,,,,,,,,,,,,,
62,2,0,0,10,4,10,0,4.0,81,200,200,100,100,0,0,10,10,,,,,,,,,,,,
62,3,0,10,10,4,11,0,3.0,81,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
62,4,0,20,11,4,26,0,3.0,81,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
62,5,0,31,26,4,43,0,3.0,81,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
62,6,0,57,43,4,78,0,3.0,81,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
62,7,10,90,78,4,81,0,3.0,81,2112,2112,1302,1302,10,10,81,78,43,26,11,0,10,,,,,,,
62,8,11,157,81,4,81,0,3.0,81,3259,3259,2449,2449,21,21,81,81,78,43,26,0,0,10,,,,,,
62,9,26,212,81,4,81,0,3.0,81,4894,4894,4084,4084,47,47,81,81,81,78,43,0,0,0,10,,,,,
62,10,43,250,81,4,81,0,3.0,81,6165,6165,5355,5355,90,90,81,81,81,81,78,0,0,0,0,10,,,,
62,11,88,243,81,4,81,0,3.0,81,5666,6165,4856,5355,168,168,81,81,81,81,81,0,0,0,0,0,0,,,
62,12,81,243,81,4,81,0,3.0,81,5666,6165,4856,5355,248,249,81,81,81,81,81,0,0,0,0,0,0,0,,
62,13,81,243,81,4,81,0,3.0,81,5666,6165,4856,5355,328,330,81,81,81,81,81,0,0,0,0,0,0,0,0,
63,1,0,0,0,9,10,0,9.0,82,200,200,100,100,0,0,10,,,,,,,,,,,,,
63,2,0,0,10,4,10,0,4.0,82,200,200,100,100,0,0,10,10,,,,,,,,,,,,
63,3,0,10,10,4,11,0,3.0,82,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
63,4,0,20,11,4,26,0,3.0,82,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
63,5,0,31,26,4,43,0,3.0,82,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
63,6,0,57,43,4,78,0,3.0,82,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
63,7,10,90,78,4,82,0,3.0,82,2112,2112,1292,1292,10,10,82,78,43,26,11,0,10,,,,,,,
63,8,11,157,82,4,82,0,3.0,82,3259,3259,2439,2439,21,21,82,82,78,43,26,0,0,10,,,,,,
63,9,26,213,82,4,82,0,3.0,82,4898,4898,4078,4078,47,47,82,82,82,78,43,0,0,0,10,,,,,
63,10,43,252,82,4,82,0,3.0,82,6199,6199,5379,5379,90,90,82,82,82,82,78,0,0,0,0,10,,,,
63,11,88,246,82,4,82,0,3.0,82,5734,6199,4914,5379,168,168,82,82,82,82,82,0,0,0,0,0,0,,,
63,12,82,246,82,4,82,0,3.0,82,5734,6199,4914,5379,249,250,82,82,82,82,82,0,0,0,0,0,0,0,,
63,13,82,246,82,4,82,0,3.0,82,5734,6199,4914,5379,330,332,82,82,82,82,82,0,0,0,0,0,0,0,0,
64,1,0,0,0,9,10,0,9.0,83,200,200,100,100,0,0,10,,,,,,,,,,,,,
64,2,0,0,10,4,10,0,4.0,83,200,200,100,100,0,0,10,10,,,,,,,,,,,,
64,3,0,10,10,4,11,0,3.0,83,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
64,4,0,20,11,4,26,0,3.0,83,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
64,5,0,31,26,4,43,0,3.0,83,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
64,6,0,57,43,4,78,0,3.0,83,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
64,7,10,90,78,4,83,0,3.0,83,2112,2112,1282,1282,10,10,83,78,43,26,11,0,10,,,,,,,
64,8,11,157,83,4,83,0,3.0,83,3259,3259,2429,2429,21,21,83,83,78,43,26,0,0,10,,,,,,
64,9,26,214,83,4,83,0,3.0,83,4902,4902,4072,4072,47,47,83,83,83,78,43,0,0,0,10,,,,,
64,10,43,254,83,4,83,0,3.0,83,6233,6233,5403,5403,90,90,83,83,83,83,78,0,0,0,0,10,,,,
64,11,88,249,83,4,83,0,3.0,83,5802,6233,4972,5403,168,168,83,83,83,83,83,0,0,0,0,0,0,,,
64,12,83,249,83,4,83,0,3.0,83,5802,6233,4972,5403,250,251,83,83,83,83,83,0,0,0,0,0,0,0,,
64,13,83,249,83,4,83,0,3.0,83,5802,6233,4972,5403,332,334,83,83,83,83,83,0,0,0,0,0,0,0,0,
65,1,0,0,0,10,10,0,10.0,84,200,200,100,100,0,0,10,,,,,,,,,,,,,
65,2,0,0,10,4,10,0,4.0,84,200,200,100,100,0,0,10,10,,,,,,,,,,,,
65,3,0,10,10,4,11,0,3.0,84,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
65,4,0,20,11,4,26,0,3.0,84,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
65,5,0,31,26,4,43,0,3.0,84,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
65,6,0,57,43,4,78,0,3.0,84,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
65,7,10,90,78,4,84,0,3.0,84,2112,2112,1272,1272,10,10,84,78,43,26,11,0,10,,,,,,,
65,8,11,157,84,4,84,0,3.0,84,3259,3259,2419,2419,21,21,84,84,78,43,26,0,0,10,,,,,,
65,9,26,215,84,4,84,0,3.0,84,4906,4906,4066,4066,47,47,84,84,84,78,43,0,0,0,10,,,,,
65,10,43,256,84,4,84,0,3.0,84,6267,6267,5427,5427,90,90,84,84,84,84,78,0,0,0,0,10,,,,
65,11,78,262,84,4,84,0,3.0,84,6470,6470,5630,5630,168,168,84,84,84,84,84,0,0,0,0,0,10,,,
65,12,94,252,84,4,84,0,3.0,84,5870,6470,5030,5630,251,252,84,84,84,84,84,0,0,0,0,0,0,0,,
65,13,84,252,84,4,84,0,3.0,84,5870,6470,5030,5630,334,336,84,84,84,84,84,0,0,0,0,0,0,0,0,
66,1,0,0,0,10,10,0,10.0,85,200,200,100,100,0,0,10,,,,,,,,,,,,,
66,2,0,0,10,4,10,0,4.0,85,200,200,100,100,0,0,10,10,,,,,,,,,,,,
66,3,0,10,10,4,11,0,3.0,85,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
66,4,0,20,11,4,26,0,3.0,85,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
66,5,0,31,26,4,43,0,3.0,85,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
66,6,0,57,43,4,78,0,3.0,85,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
66,7,10,90,78,4,85,0,3.0,85,2112,2112,1262,1262,10,10,85,78,43,26,11,0,10,,,,,,,
66,8,11,157,85,4,85,0,3.0,85,3259,3259,2409,2409,21,21,85,85,78,43,26,0,0,10,,,,,,
66,9,26,216,85,4,85,0,3.0,85,4909,4909,4059,4059,47,47,85,85,85,78,43,0,0,0,10,,,,,
66,10,43,258,85,4,85,0,3.0,85,6300,6300,5450,5450,90,90,85,85,85,85,78,0,0,0,0,10,,,,
66,11,78,265,85,4,85,0,3.0,85,6536,6536,5686,5686,168,168,85,85,85,85,85,0,0,0,0,0,10,,,
66,12,95,255,85,4,85,0,3.0,85,5936,6536,5086,5686,252,253,85,85,85,85,85,0,0,0,0,0,0,0,,
66,13,85,255,85,4,85,0,3.0,85,5936,6536,5086,5686,336,338,85,85,85,85,85,0,0,0,0,0,0,0,0,
67,1,0,0,0,10,10,0,10.0,86,200,200,100,100,0,0,10,,,,,,,,,,,,,
67,2,0,0,10,4,10,0,4.0,86,200,200,100,100,0,0,10,10,,,,,,,,,,,,
67,3,0,10,10,4,11,0,3.0,86,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
67,4,0,20,11,4,26,0,3.0,86,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
67,5,0,31,26,4,43,0,3.0,86,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
67,6,0,57,43,4,78,0,3.0,86,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
67,7,10,90,78,4,86,0,3.0,86,2112,2112,1252,1252,10,10,86,78,43,26,11,0,10,,,,,,,
67,8,11,157,86,4,86,0,3.0,86,3259,3259,2399,2399,21,21,86,86,78,43,26,0,0,10,,,,,,
67,9,26,217,86,4,86,0,3.0,86,4913,4913,4053,4053,47,47,86,86,86,78,43,0,0,0,10,,,,,
67,10,43,260,86,4,86,0,3.0,86,6334,6334,5474,5474,90,90,86,86,86,86,78,0,0,0,0,10,,,,
67,11,78,268,86,4,86,0,3.0,86,6604,6604,5744,5744,168,168,86,86,86,86,86,0,0,0,0,0,10,,,
67,12,96,258,86,4,86,0,3.0,86,6004,6604,5144,5744,253,254,86,86,86,86,86,0,0,0,0,0,0,0,,
67,13,86,258,86,4,86,0,3.0,86,6004,6604,5144,5744,338,340,86,86,86,86,86,0,0,0,0,0,0,0,0,
68,1,0,0,0,10,10,0,10.0,87,200,200,100,100,0,0,10,,,,,,,,,,,,,
68,2,0,0,10,4,10,0,4.0,87,200,200,100,100,0,0,10,10,,,,,,,,,,,,
68,3,0,10,10,4,11,0,3.0,87,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
68,4,0,20,11,4,26,0,3.0,87,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
68,5,0,31,26,4,43,0,3.0,87,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
68,6,0,57,43,4,78,0,3.0,87,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
68,7,10,90,78,4,87,0,3.0,87,2112,2112,1242,1242,10,10,87,78,43,26,11,0,10,,,,,,,
68,8,11,157,87,4,87,0,3.0,87,3259,3259,2389,2389,21,21,87,87,78,43,26,0,0,10,,,,,,
68,9,26,218,87,4,87,0,3.0,87,4917,4917,4047,4047,47,47,87,87,87,78,43,0,0,0,10,,,,,
68,10,43,262,87,4,87,0,3.0,87,6368,6368,5498,5498,90,90,87,87,87,87,78,0,0,0,0,10,,,,
68,11,78,271,87,4,87,0,3.0,87,6672,6672,5802,5802,168,168,87,87,87,87,87,0,0,0,0,0,10,,,
68,12,97,261,87,4,87,0,3.0,87,6072,6672,5202,5802,254,255,87,87,87,87,87,0,0,0,0,0,0,0,,
68,13,87,261,87,4,87,0,3.0,87,6072,6672,5202,5802,340,342,87,87,87,87,87,0,0,0,0,0,0,0,0,
69,1,0,0,0,10,10,0,10.0,88,200,200,100,100,0,0,10,,,,,,,,,,,,,
69,2,0,0,10,4,10,0,4.0,88,200,200,100,100,0,0,10,10,,,,,,,,,,,,
69,3,0,10,10,4,11,0,3.0,88,237,237,127,127,0,0,11,10,10,,,,,,,,,,,
69,4,0,20,11,4,26,0,3.0,88,537,537,277,277,0,0,26,11,10,10,,,,,,,,,,
69,5,0,31,26,4,43,0,3.0,88,878,878,448,448,0,0,43,26,11,10,10,,,,,,,,,
69,6,0,57,43,4,78,0,3.0,88,1564,1564,784,784,0,0,78,43,26,11,10,10,,,,,,,,
69,7,10,90,78,4,88,0,3.0,88,2112,2112,1232,1232,10,10,88,78,43,26,11,0,10,,,,,,,
